"Rock_type","variable","Name","Country","value","limit"
"igneous","G_Ore","Martison","Canada",21.48,"max"
"igneous","G_Ore","Siilinjarvi","Finland",4.2,"min"
"sedimentary","G_Ore","Boucraa","Morocco",33.9,"max"
"sedimentary","G_Ore","Florida","United States",9.5,"min"
"sedimentary","G_Ore","White Springs","United States",9.5,"min"
"igneous","G_PR","Kola","Russia",39,"max"
"igneous","G_PR","Cajati","Brazil",34.1,"min"
"sedimentary","G_PR","Gadde Bissik","Senegal",36.4,"max"
"sedimentary","G_PR","Chilisai","Kazakhstan",17,"min"
"igneous","G_Mineral","Kovdor","Russia",42.38,"max"
"igneous","G_Mineral","Araxa/Patrocinio","Brazil",39.6,"min"
"sedimentary","G_Mineral","Lao Cai","Vietnam",42.2198615176379,"max"
"sedimentary","G_Mineral","San Juan de la Costa","Mexico",42.2198615176379,"max"
"sedimentary","G_Mineral","Jhamarkotra","India",42.2198615176379,"max"
"sedimentary","G_Mineral","Thies-Lam Lam","Senegal",34.2846285066479,"min"
"igneous","G_Waste","Martison","Canada",9.99157167530225,"max"
"igneous","G_Waste","Kovdor","Russia",0.426829268292682,"min"
"sedimentary","G_Waste","Farim-Saliquinhe","Guinea-Bissau",27.515248098515,"max"
"sedimentary","G_Waste","Karatau-Kazphosphate","Kazakhstan",0,"min"
"sedimentary","G_Waste","Phosphate Hill-Duchess","Australia",0,"min"
"igneous","Beneficiation_Upgrade","Siilinjarvi","Finland",34.7,"max"
"igneous","Beneficiation_Upgrade","Martison","Canada",15.8,"min"
"sedimentary","Beneficiation_Upgrade","White Springs","United States",20.74,"max"
"sedimentary","Beneficiation_Upgrade","Khouribga","Morocco",1.25,"min"
"igneous","Potential","Cajati","Brazil",8.11986151763789,"max"
"igneous","Potential","Kola","Russia",1.36,"min"
"sedimentary","Potential","Chilisai","Kazakhstan",21.5,"max"
"sedimentary","Potential","Thies-Lam Lam","Senegal",1.13462850664793,"min"
